"Population","Population Density","Food Insecurity (%)","JHU COVID-19 Mortality Rate (Deaths/100k)","CDC COVID-19 Mortality Rate (Deaths/100k)","Median Age","% Female","% Native American","% Hispanic","% Black","% Asian","% Non-Hispanic White","% Foreign Born","% Employed in Trade/Retail","% Employed in Transportation","% w/ < HS Diploma","% at least 4-yr college degree","Poverty Rate (%)","% Disabled","% w/ Health Insurance","% w/ No Vehicle Access","Median Household (HH) Income","Average HH Size","Gini Index","2020 General Election Vote Differential","COVID-19 Incidence (CDC)","% Vaccinated","Population:Emergency Physicians","Health Index"
"Population","--","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Population Density","0.14","--","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Food Insecurity (%)","0.06","0.15","--","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHU COVID-19 Mortality Rate (Deaths/100k)","0.01","0.19","0.55","--","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDC COVID-19 Mortality Rate (Deaths/100k)","0.15","0.22","0.23","0.45","--","","","","","","","","","","","","","","","","","","","","","","","",""
"Median Age","-0.22","-0.11","-0.11","-0.07","-0.02","--","","","","","","","","","","","","","","","","","","","","","","",""
"% Female","0.05","0.24","0.10","0.05","0.06","0.05","--","","","","","","","","","","","","","","","","","","","","","",""
"% Native American","-0.02","-0.04","0.15","0.24","0.19","-0.06","-0.08","--","","","","","","","","","","","","","","","","","","","","",""
"% Hispanic","0.51","0.12","0.17","0.17","0.11","-0.39","-0.10","0.02","--","","","","","","","","","","","","","","","","","","","",""
"% Black","0.02","0.20","0.29","0.17","0.03","-0.21","0.43","-0.12","-0.11","--","","","","","","","","","","","","","","","","","","",""
"% Asian","0.44","0.28","-0.26","-0.17","-0.04","-0.21","0.01","-0.04","0.27","-0.04","--","","","","","","","","","","","","","","","","","",""
"% Non-Hispanic White","-0.53","-0.27","-0.23","-0.19","-0.11","0.50","-0.16","-0.08","-0.77","-0.45","-0.48","--","","","","","","","","","","","","","","","","",""
"% Foreign Born","0.60","0.38","-0.11","-0.02","0.11","-0.27","0.08","-0.07","0.69","0.06","0.72","-0.76","--","","","","","","","","","","","","","","","",""
"% Employed in Trade/Retail","-0.09","-0.32","0.10","0.06","0.06","0.14","-0.03","-0.03","0.03","-0.15","-0.34","0.17","-0.22","--","","","","","","","","","","","","","","",""
"% Employed in Transportation","0.16","0.04","0.21","0.33","0.24","-0.10","0.06","-0.01","0.22","0.27","-0.06","-0.30","0.14","0.22","--","","","","","","","","","","","","","",""
"% w/ < HS Diploma","0.35","0.15","0.59","0.53","0.29","-0.26","-0.07","0.07","0.66","0.12","0.05","-0.59","0.37","0.06","0.36","--","","","","","","","","","","","","",""
"% at least 4-yr college degree","0.15","0.25","-0.57","-0.48","-0.30","-0.17","0.20","-0.12","-0.05","0.03","0.54","-0.13","0.39","-0.42","-0.38","-0.52","--","","","","","","","","","","","",""
"Poverty Rate (%)","0.06","0.15","0.86","0.53","0.30","-0.25","0.16","0.18","0.23","0.37","-0.25","-0.33","-0.04","0.05","0.22","0.63","-0.51","--","","","","","","","","","","",""
"% Disabled","0.08","0.00","0.51","0.41","0.24","-0.07","0.04","0.20","0.27","0.15","-0.05","-0.30","0.04","0.13","0.32","0.56","-0.49","0.47","--","","","","","","","","","",""
"% w/ Health Insurance","0.09","-0.04","0.03","0.07","-0.06","-0.15","0.27","0.02","0.08","-0.05","-0.01","-0.03","0.06","0.04","0.13","0.06","0.04","0.05","-0.02","--","","","","","","","","",""
"% w/ No Vehicle Access","0.12","0.98","0.16","0.20","0.23","-0.12","0.24","-0.04","0.09","0.22","0.26","-0.26","0.36","-0.35","0.03","0.15","0.24","0.19","-0.02","-0.05","--","","","","","","","",""
"Median Household (HH) Income","0.14","0.11","-0.74","-0.44","-0.27","-0.03","-0.04","-0.10","0.04","-0.23","0.65","-0.08","0.42","-0.32","-0.25","-0.40","0.77","-0.75","-0.35","-0.01","0.08","--","","","","","","",""
"Average HH Size","0.36","-0.08","-0.07","0.12","0.07","-0.45","-0.13","0.09","0.70","-0.07","0.33","-0.60","0.54","0.11","0.26","0.50","-0.05","-0.01","0.33","0.09","-0.13","0.26","--","","","","","",""
"Gini Index","0.37","0.42","0.38","0.15","0.13","-0.14","0.34","-0.01","0.26","0.40","0.19","-0.47","0.40","-0.20","0.01","0.29","0.24","0.48","0.06","0.00","0.44","-0.13","-0.08","--","","","","",""
"2020 General Election Vote Differential","-0.42","-0.39","0.14","0.20","0.06","0.34","-0.31","0.04","-0.32","-0.40","-0.56","0.63","-0.62","0.41","0.05","-0.01","-0.62","0.00","0.14","-0.02","-0.41","-0.38","-0.11","-0.49","--","","","",""
"COVID-19 Incidence (CDC)","-0.05","-0.14","0.22","0.40","0.39","-0.02","-0.08","0.09","0.08","-0.03","-0.47","0.09","-0.18","0.34","0.28","0.26","-0.50","0.27","0.20","0.08","-0.14","-0.47","0.08","-0.05","0.48","--","","",""
"% Vaccinated","0.28","0.27","-0.34","-0.30","-0.04","-0.02","0.12","0.00","0.29","-0.12","0.52","-0.31","0.58","-0.28","-0.20","-0.16","0.63","-0.30","-0.25","0.01","0.27","0.55","0.11","0.25","-0.66","-0.37","--","",""
"Population:Emergency Physicians","0.05","0.21","-0.13","-0.27","-0.16","-0.10","0.22","-0.06","-0.10","0.13","0.17","-0.05","0.08","-0.30","-0.30","-0.32","0.56","-0.08","-0.31","0.01","0.23","0.21","-0.29","0.39","-0.45","-0.27","0.37","--",""
